PROVIDER_ID,PROCEDURE_COUNT,READMISSION_COUNT,DEATH_COUNT,COMPLICATION_COUNT,PERCENTAGE
3997,1,0,0,0,0.0
6658,1,0,0,0,0.0
7240,1,0,0,0,0.0
9852,5,0,0,0,0.0
14832,27,0,0,0,0.0
22223,3,0,0,0,0.0
23336,1,0,0,0,0.0
24347,1,0,0,0,0.0
28088,1,0,0,0,0.0
28836,1,0,0,0,0.0
31261,1,0,0,0,0.0
34061,2,0,0,0,0.0
34759,18,1,0,1,0.0555555555556
37263,2,0,0,0,0.0
38758,1,0,0,0,0.0
38868,2,0,0,0,0.0
40386,1,1,0,1,1.0
41890,8,0,0,0,0.0
43852,1,0,0,0,0.0
46943,1,0,0,0,0.0
51393,1,0,0,0,0.0
51415,3,0,0,0,0.0
51607,5,0,0,0,0.0
53963,2,0,0,0,0.0
55869,1,0,0,0,0.0
57370,1,0,0,0,0.0
57693,3,0,0,0,0.0
63271,1,0,0,0,0.0
65408,1,0,0,0,0.0
75120,2,0,0,0,0.0
76110,12,0,0,0,0.0
87462,1,0,0,0,0.0
89537,3,0,0,0,0.0
103902,1,0,0,0,0.0
105796,1,0,0,0,0.0
110682,1,0,0,0,0.0
114206,1,0,0,0,0.0
116312,1,0,0,0,0.0
118989,1,0,0,0,0.0
127444,1,0,0,0,0.0
128589,1,0,0,0,0.0
130557,1,0,0,0,0.0
139379,1,0,0,0,0.0
144991,3,0,0,0,0.0
150956,1,0,0,0,0.0
163934,5,0,0,0,0.0
170948,1,0,0,0,0.0
171642,2,0,0,0,0.0
178564,3,0,0,0,0.0
195004,1,0,0,0,0.0
196628,5,0,0,0,0.0
198038,1,0,0,0,0.0
202253,1,0,0,0,0.0
204839,1,0,0,0,0.0
211126,2,0,0,0,0.0
214660,1,0,1,1,1.0
221138,1,0,0,0,0.0
231350,1,0,0,0,0.0
232903,5,0,0,0,0.0
248089,1,0,0,0,0.0
254145,1,0,0,0,0.0
258865,3,0,0,0,0.0
260726,1,0,0,0,0.0
273317,8,0,0,0,0.0
281809,1,0,0,0,0.0
282566,1,0,0,0,0.0
287536,5,0,0,0,0.0
289337,1,0,0,0,0.0
298862,1,0,0,0,0.0
299003,1,0,0,0,0.0
300539,1,0,0,0,0.0
304030,1,0,0,0,0.0
304276,3,0,0,0,0.0
311803,1,0,0,0,0.0
314843,2,0,0,0,0.0
321560,1,0,0,0,0.0
328989,1,0,0,0,0.0
341205,3,0,0,0,0.0
343353,1,0,0,0,0.0
