PROVIDER_ID,PROCEDURE_COUNT,READMISSION_COUNT,DEATH_COUNT,COMPLICATION_COUNT,PERCENTAGE
9852,2,0,0,0,0.0
14832,6,0,0,0,0.0
18979,1,0,0,0,0.0
29993,1,0,0,0,0.0
31951,1,0,0,0,0.0
34759,3,0,0,0,0.0
41890,1,0,0,0,0.0
43935,1,0,0,0,0.0
51607,1,0,0,0,0.0
53963,1,0,0,0,0.0
57693,1,0,0,0,0.0
73683,1,0,0,0,0.0
76110,1,0,0,0,0.0
106724,1,0,0,0,0.0
114206,2,0,0,0,0.0
162105,1,0,0,0,0.0
171642,1,0,0,0,0.0
172319,1,0,0,0,0.0
178564,1,0,0,0,0.0
196628,1,0,0,0,0.0
197148,1,0,0,0,0.0
198591,1,0,0,0,0.0
202253,1,0,0,0,0.0
232903,1,0,0,0,0.0
251814,1,0,0,0,0.0
254145,1,0,0,0,0.0
285499,1,0,0,0,0.0
372733,1,0,0,0,0.0
417823,1,0,0,0,0.0
419481,1,0,0,0,0.0
434587,1,0,0,0,0.0
434679,1,0,0,0,0.0
441665,1,0,0,0,0.0
457394,1,0,0,0,0.0
521745,1,0,0,0,0.0
607483,1,0,0,0,0.0
649133,1,0,0,0,0.0
724171,1,0,0,0,0.0
4929,1,0,0,0,0.0
5614,1,0,0,0,0.0
21715,1,0,0,0,0.0
31928,1,0,0,0,0.0
34103,1,0,0,0,0.0
34878,10,0,0,0,0.0
40687,1,0,0,0,0.0
46108,2,0,0,0,0.0
48780,1,0,0,0,0.0
57513,4,0,0,0,0.0
65726,1,0,0,0,0.0
97705,1,0,0,0,0.0
102262,1,0,0,0,0.0
151791,1,0,0,0,0.0
153678,1,0,0,0,0.0
181840,1,0,0,0,0.0
201981,1,0,0,0,0.0
254684,2,0,0,0,0.0
266548,1,0,0,0,0.0
267715,1,0,0,0,0.0
270184,1,0,0,0,0.0
273483,1,0,0,0,0.0
277576,1,0,0,0,0.0
289746,1,0,0,0,0.0
333796,1,0,0,0,0.0
351676,1,0,0,0,0.0
367937,3,0,0,0,0.0
377114,1,0,0,0,0.0
384488,1,0,0,0,0.0
455642,1,0,0,0,0.0
518954,1,0,0,0,0.0
6825,1,0,0,0,0.0
8257,1,0,0,0,0.0
17775,1,0,0,0,0.0
24855,3,0,0,0,0.0
26619,1,0,0,0,0.0
37768,1,0,0,0,0.0
45731,1,0,0,0,0.0
49503,1,0,0,0,0.0
51914,1,0,0,0,0.0
54958,1,0,0,0,0.0
60964,1,0,0,0,0.0
81465,1,0,0,0,0.0
82963,1,0,0,0,0.0
93112,1,0,0,0,0.0
96382,1,0,0,0,0.0
98046,1,0,0,0,0.0
108249,1,0,0,0,0.0
122494,1,0,0,0,0.0
133704,1,0,0,0,0.0
139255,2,0,0,0,0.0
164740,2,0,0,0,0.0
184126,2,0,0,0,0.0
194061,1,0,0,0,0.0
202808,1,0,0,0,0.0
211983,3,0,0,0,0.0
240762,1,0,0,0,0.0
251311,1,0,0,0,0.0
275685,1,0,0,0,0.0
299700,1,0,0,0,0.0
317022,1,0,0,0,0.0
322183,1,0,0,0,0.0
322461,1,0,0,0,0.0
331599,1,0,0,0,0.0
341822,1,0,0,0,0.0
345998,1,0,0,0,0.0
361053,1,0,0,0,0.0
552204,2,0,0,0,0.0
579813,1,0,0,0,0.0
597625,1,0,0,0,0.0
605269,2,0,0,0,0.0
768926,1,0,0,0,0.0
85,1,0,0,0,0.0
251,3,0,0,0,0.0
3490,3,0,0,0,0.0
7066,1,0,0,0,0.0
18838,1,0,0,0,0.0
18884,1,0,0,0,0.0
35950,4,0,0,0,0.0
44792,1,0,0,0,0.0
45895,1,0,0,0,0.0
56490,1,0,0,0,0.0
65879,1,0,0,0,0.0
73341,1,0,0,0,0.0
78776,4,1,0,1,0.25
88726,1,0,0,0,0.0
98306,1,0,0,0,0.0
113617,1,0,0,0,0.0
126036,1,0,0,0,0.0
127355,1,0,0,0,0.0
146367,1,0,0,0,0.0
171975,1,0,0,0,0.0
185553,1,0,0,0,0.0
188870,3,0,0,0,0.0
200714,1,0,0,0,0.0
209878,1,0,0,0,0.0
224462,2,0,0,0,0.0
227158,1,0,0,0,0.0
232852,1,0,0,0,0.0
315842,2,0,0,0,0.0
334270,1,0,0,0,0.0
370977,1,0,0,0,0.0
389006,2,0,0,0,0.0
456267,1,0,0,0,0.0
486224,1,0,0,0,0.0
658412,1,0,0,0,0.0
668913,1,0,0,0,0.0
5697,1,0,0,0,0.0
12322,1,0,0,0,0.0
23362,1,0,0,0,0.0
25316,1,0,0,0,0.0
32546,1,0,0,0,0.0
39721,3,0,0,0,0.0
42540,1,0,0,0,0.0
48729,1,0,0,0,0.0
50516,1,0,0,0,0.0
78622,1,0,0,0,0.0
78671,1,0,0,0,0.0
86732,1,0,0,0,0.0
104226,1,0,0,0,0.0
113629,4,0,0,0,0.0
116475,1,0,0,0,0.0
120438,1,0,0,0,0.0
125141,1,0,0,0,0.0
125637,2,0,0,0,0.0
165478,1,0,0,0,0.0
171211,2,0,0,0,0.0
199301,1,0,0,0,0.0
227163,1,0,0,0,0.0
227830,1,0,0,0,0.0
231098,1,0,0,0,0.0
232109,1,0,0,0,0.0
246030,1,0,0,0,0.0
314627,1,0,0,0,0.0
314987,2,0,0,0,0.0
389530,1,0,0,0,0.0
521362,1,0,0,0,0.0
559972,1,0,0,0,0.0
2247,7,0,0,0,0.0
3028,2,1,0,1,0.5
12184,12,0,0,0,0.0
16510,4,0,0,0,0.0
30540,1,0,0,0,0.0
31631,1,0,0,0,0.0
32290,1,0,0,0,0.0
36930,2,1,0,1,0.5
37812,9,0,0,0,0.0
50393,1,0,0,0,0.0
51594,1,0,0,0,0.0
52107,1,0,0,0,0.0
58366,1,0,0,0,0.0
61129,4,0,0,0,0.0
64236,2,0,0,0,0.0
68272,1,0,0,0,0.0
76467,1,0,0,0,0.0
82935,3,0,0,0,0.0
85848,1,0,0,0,0.0
87281,1,0,0,0,0.0
101678,1,0,0,0,0.0
105838,1,0,0,0,0.0
114281,1,0,0,0,0.0
115498,2,0,0,0,0.0
117252,1,0,0,0,0.0
137904,1,0,0,0,0.0
141765,1,0,0,0,0.0
151646,1,0,0,0,0.0
169337,1,0,0,0,0.0
171588,1,0,0,0,0.0
175968,3,0,0,0,0.0
217572,1,0,0,0,0.0
317901,1,0,0,0,0.0
362422,1,0,0,0,0.0
381153,1,0,0,0,0.0
523288,1,0,0,0,0.0
533466,1,0,0,0,0.0
543468,1,0,0,0,0.0
567544,1,0,0,0,0.0
595424,1,0,0,0,0.0
647168,1,0,0,0,0.0
2874,16,1,0,1,0.0625
11287,1,0,0,0,0.0
36935,2,0,0,0,0.0
38199,1,0,0,0,0.0
42735,1,0,0,0,0.0
47116,1,0,0,0,0.0
54146,1,0,0,0,0.0
58817,1,0,0,0,0.0
58985,2,0,0,0,0.0
61155,1,0,0,0,0.0
68087,1,0,0,0,0.0
77741,1,0,0,0,0.0
80522,1,0,0,0,0.0
84506,1,0,0,0,0.0
91704,1,0,0,0,0.0
92176,2,0,0,0,0.0
92740,1,0,0,0,0.0
111961,1,0,0,0,0.0
113413,1,0,0,0,0.0
128936,1,0,0,0,0.0
