PROVIDER_ID,TOTAL_COUNT,READMISSION_COUNT,DEATH_COUNT,COMPLICATION_COUNT,PERCENTAGE
7340,1,0,0,0,0.0
9852,1,0,0,0,0.0
14832,4,0,0,0,0.0
31951,1,0,0,0,0.0
34759,1,0,0,0,0.0
41890,2,0,0,0,0.0
57693,1,0,0,0,0.0
76110,9,0,0,0,0.0
105153,1,0,0,0,0.0
143432,1,0,0,0,0.0
163934,2,0,0,0,0.0
172319,1,0,0,0,0.0
175233,1,0,0,0,0.0
178564,1,0,0,0,0.0
254564,1,0,0,0,0.0
417160,1,0,0,0,0.0
432224,1,0,0,0,0.0
448261,1,0,0,0,0.0
457394,1,0,0,0,0.0
462656,1,0,0,0,0.0
488928,1,0,0,0,0.0
3698,3,0,0,0,0.0
6393,1,0,0,0,0.0
11316,1,0,0,0,0.0
11710,1,0,0,0,0.0
37480,1,0,0,0,0.0
40687,2,0,0,0,0.0
48780,1,0,0,0,0.0
57513,2,0,0,0,0.0
58572,1,0,0,0,0.0
62526,1,0,0,0,0.0
65726,1,0,0,0,0.0
122710,1,0,0,0,0.0
165287,2,0,0,0,0.0
179764,1,0,0,0,0.0
195744,1,0,0,0,0.0
243664,1,0,0,0,0.0
244220,1,0,0,0,0.0
267715,1,0,0,0,0.0
271143,1,0,0,0,0.0
283750,1,0,0,0,0.0
288503,1,0,0,0,0.0
351676,1,0,0,0,0.0
367937,2,0,0,0,0.0
398493,2,0,0,0,0.0
589279,1,0,0,0,0.0
644350,1,0,0,0,0.0
665219,1,1,0,1,1.0
11639,1,0,0,0,0.0
21121,2,0,0,0,0.0
24719,1,0,0,0,0.0
24855,1,0,0,0,0.0
32648,1,0,0,0,0.0
41126,3,0,0,0,0.0
46362,1,0,0,0,0.0
54958,4,0,0,0,0.0
60001,1,0,0,0,0.0
60964,1,0,0,0,0.0
72981,1,0,0,0,0.0
82886,1,0,0,0,0.0
84247,1,0,0,0,0.0
106148,1,0,0,0,0.0
139255,3,0,0,0,0.0
164740,2,0,0,0,0.0
168529,1,0,0,0,0.0
172139,1,0,0,0,0.0
184126,2,0,0,0,0.0
185260,1,0,0,0,0.0
211983,5,1,0,1,0.2
215073,1,0,0,0,0.0
266220,1,0,0,0,0.0
275685,1,0,0,0,0.0
277829,1,0,0,0,0.0
290934,1,0,0,0,0.0
297777,1,0,0,0,0.0
302796,1,0,0,0,0.0
326434,1,0,0,0,0.0
334459,1,0,0,0,0.0
365311,1,0,0,0,0.0
422961,1,0,0,0,0.0
471573,1,0,0,0,0.0
85,2,0,0,0,0.0
251,1,0,0,0,0.0
18838,1,0,0,0,0.0
19161,1,0,0,0,0.0
21412,1,0,0,0,0.0
22107,1,0,0,0,0.0
27856,1,0,0,0,0.0
35094,1,0,0,0,0.0
35184,1,0,0,0,0.0
48401,1,0,0,0,0.0
54051,1,0,0,0,0.0
65879,1,0,0,0,0.0
68064,1,0,0,0,0.0
90586,1,0,0,0,0.0
97579,4,0,0,0,0.0
120163,1,0,0,0,0.0
135768,1,0,0,0,0.0
162354,1,0,0,0,0.0
185553,1,0,0,0,0.0
187922,2,0,0,0,0.0
193916,1,0,0,0,0.0
196437,1,0,0,0,0.0
209605,1,0,0,0,0.0
209878,3,0,0,0,0.0
223067,1,0,0,0,0.0
224462,1,0,0,0,0.0
231479,1,0,0,0,0.0
270728,1,0,0,0,0.0
272612,1,0,0,0,0.0
283315,1,0,0,0,0.0
284794,2,0,0,0,0.0
303881,1,0,0,0,0.0
315842,1,0,0,0,0.0
353147,1,0,0,0,0.0
353824,1,0,0,0,0.0
365677,1,0,0,0,0.0
422252,1,0,0,0,0.0
423167,1,0,0,0,0.0
472979,1,0,0,0,0.0
