PROVIDER_ID,TOTAL_COUNT,READMISSION_COUNT,DEATH_COUNT,COMPLICATION_COUNT,PERCENTAGE
34759,2,0,0,0,0.0
76110,1,0,0,0,0.0
89537,1,0,0,0,0.0
196628,1,0,0,0,0.0
252036,1,0,0,0,0.0
514681,1,0,0,0,0.0
40687,1,0,0,0,0.0
45634,1,0,0,0,0.0
83947,1,0,0,0,0.0
104317,1,0,0,0,0.0
186315,1,0,0,0,0.0
242284,1,0,0,0,0.0
260960,1,0,0,0,0.0
306085,1,0,0,0,0.0
338198,1,0,0,0,0.0
367937,1,0,0,0,0.0
22609,1,0,0,0,0.0
60964,1,0,0,0,0.0
88508,1,0,0,0,0.0
96382,1,0,0,0,0.0
167868,1,0,0,0,0.0
211983,1,0,0,0,0.0
362356,1,0,0,0,0.0
535471,1,0,0,0,0.0
849957,1,0,0,0,0.0
251,2,0,0,0,0.0
3490,1,0,0,0,0.0
45978,1,0,0,0,0.0
162354,2,0,0,0,0.0
185553,1,0,0,0,0.0
209713,1,0,0,0,0.0
209878,1,0,0,0,0.0
218655,1,0,0,0,0.0
372536,1,0,0,0,0.0
385436,1,0,0,0,0.0
432264,1,0,0,0,0.0
560428,1,0,0,0,0.0
12322,1,0,0,0,0.0
17190,1,0,0,0,0.0
20388,1,0,0,0,0.0
38728,1,0,0,0,0.0
45227,1,0,0,0,0.0
63146,1,0,0,0,0.0
86732,1,0,0,0,0.0
104226,1,0,0,0,0.0
140052,1,0,0,0,0.0
12184,3,0,0,0,0.0
16510,1,0,0,0,0.0
37812,1,0,0,0,0.0
76467,1,0,0,0,0.0
122536,1,0,0,0,0.0
129358,1,0,0,0,0.0
157668,1,0,0,0,0.0
166165,1,0,0,0,0.0
175968,1,0,0,0,0.0
215681,1,0,0,0,0.0
273691,2,0,0,0,0.0
286469,1,0,0,0,0.0
424316,1,0,0,0,0.0
38199,1,0,0,0,0.0
47116,1,0,0,0,0.0
58985,2,0,0,0,0.0
61155,2,0,0,0,0.0
79397,1,0,0,0,0.0
89295,1,0,0,0,0.0
92176,1,0,0,0,0.0
161761,1,0,0,0,0.0
187346,1,0,0,0,0.0
202624,1,0,0,0,0.0
410571,1,0,0,0,0.0
4624,1,0,0,0,0.0
83255,1,0,0,0,0.0
102260,1,0,0,0,0.0
108113,1,0,0,0,0.0
121438,1,0,0,0,0.0
125815,1,0,0,0,0.0
129899,1,0,0,0,0.0
251231,1,0,0,0,0.0
265557,1,0,0,0,0.0
282584,1,0,0,0,0.0
500262,1,0,0,0,0.0
541194,1,0,0,0,0.0
19358,8,0,0,0,0.0
150350,1,0,0,0,0.0
170242,1,0,0,0,0.0
259087,1,0,0,0,0.0
381134,1,0,0,0,0.0
462648,1,0,0,0,0.0
16813,1,0,0,0,0.0
21200,3,0,0,0,0.0
27055,1,0,0,0,0.0
34619,6,0,0,0,0.0
49061,1,0,0,0,0.0
72424,1,0,0,0,0.0
100980,1,0,0,0,0.0
297320,1,0,0,0,0.0
313316,1,0,0,0,0.0
52732,1,0,0,0,0.0
73320,1,0,0,0,0.0
114541,1,0,0,0,0.0
115817,1,0,0,0,0.0
